id;placed_date;status;code
1;2021-05-07T07:03:59;COMPLETED;Computer Practical Fresh Pants
2;2021-05-07T01:37:43;COMPLETED;Producer
3;2021-05-06T20:04:37;COMPLETED;Albania web-readiness
4;2021-05-07T09:03:57;COMPLETED;24/7 Common bluetooth
5;2021-05-07T11:15:48;COMPLETED;Credit Card Account Table Small Frozen Sausages
6;2021-05-06T16:52:50;COMPLETED;Nakfa
7;2021-05-07T05:29:30;CANCELLED;Digitized invoice
8;2021-05-07T08:34:28;COMPLETED;Facilitator
9;2021-05-06T21:27:08;PENDING;National Awesome sky blue
10;2021-05-07T14:58:12;CANCELLED;compelling mission-critical
